English,Punjabi,Time
CHACHERI CHHUND TAV PARSAD (BY YOUR GRACE),cwcrI CMd ] qÍ pRswid ],722
gobindai| mukanday| oodarai| aparai (94),goibMdy ] mukMdy ] audwry ] Apwry ]94],725
hariaun| kariaun| nirnamai| akamai. (95),hrIAM ] krIAM ] inRnwmy ] Akwmy ]95],729
BHUNG PARYAT CHHUND,BujMg pRXwq CMd ],732
chatar chakr karta| chatar chakr harta.,c`qR¨ c`k® krqw ] c`qR¨ c`k® hrqw ],734
chatar chakr danai| chatar chakr janai. (96),c`qR¨ c`k® dwny ] c`qR¨ c`k® jwny ]96],738
chatar chakr varti| chatar chakr bharti,c`qR¨ c`k® vrqI ] c`qR¨ c`k® BrqI ],742
chatar chakr palai| chatar chakr kalai. (97),c`qR¨ c`k® pwly ] c`qR¨ c`k® kwly ]97],745
chatar chakr pasai| chatar chakr vasai,c`qR¨ c`k® pwsy ] c`qR¨ c`k® vwsy ],749
chatar chakr maniay| chatar chakr daniay. (98),c`qR¨ c`k® mwnXY ] c`qR¨ c`k® dwnXY ]98],752
CHACHERI CHHUND,cwcrI CMd ],756
na satrun| na mitrun| na bharmun| na bhitrun. (99),n s`qRY ] n im`qRY ] n BrmM ] n iB`qRY ]99],758
na karmun| na kaey| ajunmun| ajaey. (100),n krmM ] n kwey ] AjnmM ] Ajwey ]100],762
na chitrun| na mitrun| parai hain| pevtrun. (101),n ic`qRY ] n im`qRY ] pry hYN ] piv`qRY ]101],766
pirthisai| aadisai| aadirsai| akirsai. (102),ipRQIsY ] AdIsY ] AidRsY ] Aik®sY ]102],770
BHAGVATI CHHUND TAV PARSAD (BY YOUR GRACE),BgvqI CMd ] qÍ prRwid kQqy ],774
keh aachij daisai| keh aabhij bhaisai.,ik AwiC`j dysY ] ik AwiB`j BysY ],777
keh aagunj karmai| keh aabunj bharmai. (103),ik AwgMj krmY ] ik AwBMj BrmY ]103],781
keh abhij lokai| keh aadit sokai.,ik AwiBj lokY ] ik Awidq sokY ],785
keh avdhoot barnai| keh bebhoot karnai. (104),ik AvDUq brnY ] ik ibBUq krnY ]104],789
keh rajun parbha hain| keh dharmun dhuja hain.,ik rwjM pRBw hYN ] ik DrmM Dujw hYN],792
keh asok barnai| keh sarba abharnai. (105),ik Awsok brnY ] ik srbw ABrnY ]105],796
keh jagtun kriti hain| keh chatrun chutri hain.,ik jgqM ik®qI hYN ] ik CqRM CqRI hYN ],801
keh brhmun sroppai| keh anbho anoopai. (106),ik bRhmM srUpY ] ik AnBau AnUpY ]106],805
keh adi adev hain. keh aap abhaiv hain.,ik Awid Adyv hYN ] ik Awip AByv hYN ],809
keh chitrun beheenai. Keh aikai adheenai. (107),ik ic`qRM ibhInY ] ik eykY ADInY ]107],813
keh rozi rjakai| reheemai rihakai.,ik rozI rzwkY ] rhImY irhwkY ],817
keh pak beaib hain| keh gaibul gaib hain. (108),ik pwk ibAYb hYN ] ik ZYbul ZYb hYN ]108],821
keh aphvul gunah hain. keh shahan shah hain.,ik APvul gunwh hYN ] ik Swhwn Swh hYN ],825
keh karan kunind hain| keh roji dehund hain. (109),ik kwrn kuinµd hYN ] ik rozI idhMd hYN ]109],829
keh rajak reheem hain| keh karmun karim hain.,ik rwzk rhIm hYN ] ik krmM krIm hYN ],833
keh sarbun kli hain| keh sarbun dali hain. (110),ik srbM klI hYN ] ik srbM dlI hYN ]110],837
keh sarbatr gounai| keh sarbatr daniai.,ik srb`qR mwinXY ] ik srb`qR dwinXY ],841
keh sarbatr gounai| keh sarbatr bhounai. (111),ik srb`qR gaunY ] ik srb`qR BaunY ]111],845
keh sarbatr daisai| keh sarbatr bhaisai.,ik srb`qR dysY ] ik srb`qR BysY ],849
keh sarbatr rajai| keh sarbatr sajai. (112),ik srb`qR rwjY ] ik srb`qR swjY ]112],852
keh sarbatr deenai| keh sarbatr leenai.,ik srb`qR dInY ] ik srb`qR lInY ],856
keh sarbatr jaho| keh sarbatr bhaho. (113),ik srb`qR jwho ] ik srb`qR Bwho ]113],860
keh sarbatr daisai| keh sarbtar bhaisai,ik srb`qR dysY ] ik srb`qR BysY ],865
keh sarbatr kalai| keh sarbatr palai. (114),ik srb`qR kwlY ] ik srb`qR pwlY ]114],868
keh sarbatr hanta| keh sarbatr gunta,ik srb`qR hMqw ] ik srb`qR gMqw ],871
keh sarbatr bhaikhi| keh sarbatr paikhi. (115),ik srb`qR ByKI ] ik srb`qR pyKI ]115],875
keh sarbatr kajai| keh sarbatr rajai,ik srb`qR kwjY ] ik srb`qR rwjY ],878
keh sarbatr sokhai| keh sarbatr pokhai. (116),ik srb`qR soKY ] ik srb`qR poKY ]116],882
